Location,Price,Number of bedrooms,Living area,Surface area land,Property subtype_FARMHOUSE,Property subtype_HOUSE,Property subtype_MANSION,Property subtype_MIXED_USE_BUILDING,Property subtype_VILLA,Kitchen equipped,Open fireplace,Terrace,Garden,Pool,Condition
Verviers,296607.0,3.0,130.0,239.0,0,1,0,0,0,0,0,1,1,0,0
VIANE,299000.0,5.0,200.0,1150.0,0,1,0,0,0,0,0,0,0,0,0
Nivelles,195000.0,3.0,135.0,165.0,0,1,0,0,0,1,0,1,0,0,1
Dinant,175000.0,3.0,128.0,260.0,0,1,0,0,0,1,0,1,0,0,1
Lierde,415000.0,3.0,207.0,534.0,0,1,0,0,0,1,0,1,1,0,0
Lierde,405000.0,3.0,207.0,382.0,0,1,0,0,0,1,0,1,1,0,0
Lierde,415000.0,3.0,207.0,532.0,0,1,0,0,0,1,0,1,1,0,0
BLAASVELD,415000.0,3.0,194.0,457.0,0,1,0,0,0,1,0,0,1,0,1
Lierde,415000.0,3.0,207.0,532.0,0,1,0,0,0,1,0,1,1,0,0
Anderlecht,439000.0,5.0,290.0,142.0,0,1,0,0,0,0,0,1,1,0,1
Harelbeke,245000.0,3.0,161.0,353.0,0,1,0,0,0,1,0,0,0,0,0
Zele,420000.0,3.0,196.0,350.0,0,1,0,0,0,0,0,0,0,0,0
Hyon,190000.0,3.0,194.0,270.0,0,1,0,0,0,0,0,1,0,0,1
Frameries,90000.0,3.0,158.0,240.0,0,1,0,0,0,0,0,0,0,0,1
NEEROETEREN,369000.0,4.0,250.0,1341.0,0,1,0,0,0,1,0,1,0,1,0
Kieldrecht,160000.0,3.0,150.0,118.0,0,1,0,0,0,0,0,1,1,0,1
VELDEGEM,369000.0,3.0,178.0,2129.0,0,1,0,0,0,1,0,0,0,0,0
Harelbeke,285000.0,3.0,162.0,262.0,0,1,0,0,0,0,0,0,0,0,1
Diksmuide,435000.0,6.0,286.0,226.0,0,1,0,0,0,0,0,0,0,0,1
Stekene,419000.0,5.0,221.0,825.0,0,1,0,0,0,1,0,1,1,0,0
Aalst Moorsel,525000.0,4.0,238.0,475.0,0,0,0,0,1,1,0,1,0,0,0
Tournai,199000.0,3.0,105.0,110.0,0,1,0,0,0,0,0,0,0,0,1
Schoten,324000.0,3.0,175.0,175.0,0,1,0,0,0,1,0,1,1,0,1
Dendermonde,349000.0,3.0,142.0,118.0,0,1,0,0,0,0,0,0,0,0,1
Brugge,439000.0,4.0,189.0,160.0,0,1,0,0,0,1,0,1,1,0,0
Lierde,415000.0,3.0,207.0,569.0,0,1,0,0,0,1,0,1,1,0,0
Lierde,405000.0,3.0,207.0,382.0,0,1,0,0,0,1,0,1,1,0,0
Attert,295000.0,3.0,85.0,1446.0,0,1,0,0,0,0,0,0,1,0,1
Essen,1695000.0,4.0,683.0,1948.0,0,0,0,0,1,0,0,0,0,0,1
Deurne,325000.0,3.0,113.0,102.0,0,1,0,0,0,1,0,1,1,0,0
Egem,289000.0,3.0,197.0,1115.0,0,1,0,0,0,1,0,1,1,0,0
Liège,299000.0,4.0,176.0,160.0,0,1,0,0,0,1,0,1,1,0,0
Heers,332000.0,3.0,235.0,675.0,0,1,0,0,0,1,0,1,0,0,0
SINT-NIKLAAS,595000.0,4.0,296.0,1189.0,0,0,0,0,1,0,0,1,0,0,0
Hasselt,268000.0,4.0,197.0,195.0,0,1,0,0,0,0,0,0,1,0,1
Anzegem,495000.0,3.0,135.0,740.0,0,0,0,0,1,1,0,1,0,0,0
Mons,120000.0,2.0,80.0,2060.0,0,1,0,0,0,0,0,0,1,0,1
Waterloo,750000.0,4.0,200.0,0.0,0,0,0,0,1,1,0,1,0,1,0
Liege,319000.0,5.0,150.0,210.0,0,1,0,0,0,1,0,1,1,0,1
Merksem,399000.0,3.0,210.0,0.0,0,1,0,0,0,1,0,1,0,0,0
Gent,319000.0,2.0,127.0,112.0,0,1,0,0,0,0,0,0,1,0,1
Merksem,419000.0,4.0,185.0,206.0,0,1,0,0,0,0,0,0,1,0,0
Fleurus,139000.0,3.0,155.0,260.0,0,1,0,0,0,0,0,0,0,0,1
Ohey,295000.0,3.0,180.0,800.0,0,1,0,0,0,0,0,0,0,0,1
Ieper,485000.0,5.0,315.0,2565.0,0,1,0,0,0,1,0,1,1,0,1
Boom,314000.0,3.0,170.0,310.0,0,1,0,0,0,1,0,1,1,0,0
Ardooie,255000.0,4.0,173.0,264.0,0,1,0,0,0,1,0,1,0,0,1
Zwevegem,339000.0,3.0,149.0,207.0,0,1,0,0,0,1,0,1,1,0,0
Lievegem,389000.0,4.0,175.0,117.0,0,1,0,0,0,1,0,0,0,0,0
Wevelgem,315000.0,3.0,219.0,355.0,0,1,0,0,0,0,0,0,0,0,0
Boekhoute,215000.0,2.0,105.0,660.0,0,1,0,0,0,0,0,0,1,0,1
Nieuwpoort,210000.0,1.0,75.0,53.0,0,1,0,0,0,1,0,0,0,0,0
Oostende,279000.0,3.0,125.0,323.0,0,1,0,0,0,1,0,0,1,0,0
Zandvoorde,550000.0,4.0,313.0,597.0,0,1,0,0,0,0,0,0,1,0,1
Machelen,345000.0,3.0,124.0,140.0,0,1,0,0,0,1,0,0,0,0,1
Oostrozebeke,230000.0,3.0,293.0,620.0,0,1,0,0,0,0,0,0,1,0,1
Zwevegem,645000.0,4.0,304.0,3440.0,0,1,0,0,0,1,0,1,1,0,0
Genk,595000.0,4.0,240.0,0.0,0,0,0,0,1,0,0,0,1,0,0
Heusden-Zolder,699000.0,4.0,324.0,4800.0,0,0,0,0,1,0,1,0,1,0,0
Langemark-Poelkapelle,195000.0,4.0,357.0,675.0,0,1,0,0,0,0,0,0,0,0,1
Maldegem,275000.0,3.0,140.0,344.0,0,1,0,0,0,1,0,0,1,0,1
Knokke-Heist,395000.0,2.0,143.0,0.0,0,1,0,0,0,1,0,0,0,0,0
Gistel,199000.0,4.0,161.0,259.0,0,1,0,0,0,0,0,0,0,0,1
Elewijt,693000.0,4.0,320.0,1295.0,0,0,0,0,1,1,0,1,1,0,0
Melle,325000.0,2.0,115.0,151.0,0,1,0,0,0,1,0,1,1,0,0
Mechelen-Bovelingen,295000.0,3.0,160.0,216.0,0,1,0,0,0,1,0,1,0,0,0
Mechelen-Bovelingen,289000.0,3.0,160.0,216.0,0,1,0,0,0,1,0,1,0,0,0
Mechelen-Bovelingen,292000.0,3.0,160.0,216.0,0,1,0,0,0,1,0,1,0,0,0
Antwerp,639000.0,5.0,276.0,87.0,0,1,0,0,0,1,0,0,0,0,0
Woluwe-Saint-Pierre,950000.0,4.0,185.0,1065.0,0,1,0,0,0,0,0,1,1,0,0
Alveringem,146000.0,2.0,93.0,572.0,0,1,0,0,0,0,0,0,0,0,1
Nivelles,260000.0,3.0,135.0,0.0,0,1,0,0,0,0,0,1,0,0,0
Morlanwelz,165000.0,3.0,120.0,355.0,0,1,0,0,0,0,1,0,0,0,1
